phase,dataset,model,prompt_type,temperature,run_num,CVE_ID,true_score,true_severity,true_AV,true_AC,true_PR,true_UI,true_S,true_C,true_I,true_A,true_vector,raw_response,parse_status,pred_AV,pred_AC,pred_PR,pred_UI,pred_S,pred_C,pred_I,pred_A,AV_correct,AC_correct,PR_correct,UI_correct,S_correct,C_correct,I_correct,A_correct,exact_match,computed_score,score_error,predicted_severity,severity_correct,inference_time_s
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2024-53407,3.3,Low,L,L,L,N,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""L"",""UI"":""R"",""S"":""U"",""C"":""H"",""I"":""H"",""A"":""H""}",success,L,L,L,R,U,H,H,H,True,True,True,False,True,False,False,False,False,7.3,4.0,High,False,29.1
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2024-53407,3.3,Low,L,L,L,N,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""R"", ""S"": ""U"", ""C"": ""H"", ""I"": ""H"", ""A"": ""H""}",success,L,L,N,R,U,H,H,H,True,True,False,False,True,False,False,False,False,7.8,4.5,High,False,25.96
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2024-55503,3.3,Low,L,L,L,N,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""H"",""I"":""H"",""A"":""H""}",success,L,L,N,N,U,H,H,H,True,True,False,True,True,False,False,False,False,8.4,5.1,High,False,19.2
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2024-55503,3.3,Low,L,L,L,N,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""H"", ""I"": ""H"", ""A"": ""H""}",success,L,L,N,N,U,H,H,H,True,True,False,True,True,False,False,False,False,8.4,5.1,High,False,23.34
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2024-22349,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""L"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,L,L,L,N,U,L,N,N,True,True,True,True,True,True,True,True,True,3.3,0.0,Low,True,21.19
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2024-22349,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,L,L,N,N,U,L,N,N,True,True,False,True,True,True,True,True,False,4.0,0.7,Medium,False,29.23
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2024-44172,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""C"",""C"":""H"",""I"":""N"",""A"":""N""}",success,L,L,N,N,C,H,N,N,True,True,False,True,False,False,True,True,False,7.1,3.8,High,False,28.65
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2024-44172,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""L"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""H"", ""I"": ""N"", ""A"": ""N""}",success,L,L,L,N,U,H,N,N,True,True,True,True,True,False,True,True,False,5.5,2.2,Medium,False,27.74
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2024-54475,3.3,Low,L,L,N,R,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,L,L,N,N,U,L,N,N,True,True,True,False,True,True,True,True,False,4.0,0.7,Medium,False,21.35
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2024-54475,3.3,Low,L,L,N,R,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""L"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,L,L,L,N,U,L,N,N,True,True,False,False,True,True,True,True,False,3.3,0.0,Low,True,14.45
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2024-54516,3.3,Low,L,L,L,N,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""L"",""UI"":""N"",""S"":""U"",""C"":""N"",""I"":""L"",""A"":""N""}",success,L,L,L,N,U,N,L,N,True,True,True,True,True,True,True,True,True,3.3,0.0,Low,True,50.43
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2024-54516,3.3,Low,L,L,L,N,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""N"", ""I"": ""L"", ""A"": ""N""}",success,L,L,N,N,U,N,L,N,True,True,False,True,True,True,True,True,False,4.0,0.7,Medium,False,32.19
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2025-24100,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""L"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,L,L,L,N,U,L,N,N,True,True,True,True,True,True,True,True,True,3.3,0.0,Low,True,24.4
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2025-24100,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""L"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,L,L,L,N,U,L,N,N,True,True,True,True,True,True,True,True,True,3.3,0.0,Low,True,25.94
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2025-24141,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""P"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""H"",""I"":""N"",""A"":""N""}",success,P,L,N,N,U,H,N,N,False,True,False,True,True,False,True,True,False,4.6,1.3,Medium,False,26.84
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2025-24141,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""P"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""H"", ""I"": ""N"", ""A"": ""N""}",success,P,L,N,N,U,H,N,N,False,True,False,True,True,False,True,True,False,4.6,1.3,Medium,False,12.85
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2025-24145,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""L"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,L,L,L,N,U,L,N,N,True,True,True,True,True,True,True,True,True,3.3,0.0,Low,True,25.19
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2025-24145,3.3,Low,L,L,L,N,U,L,N,N,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""L"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,L,L,L,N,U,L,N,N,True,True,True,True,True,True,True,True,True,3.3,0.0,Low,True,29.7
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2025-23415,3.1,Low,N,H,N,R,U,N,L,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""L"",""UI"":""N"",""S"":""C"",""C"":""L"",""I"":""L"",""A"":""N""}",success,N,L,L,N,C,L,L,N,True,False,False,False,False,False,True,True,False,6.4,3.3,Medium,False,41.8
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2025-23415,3.1,Low,N,H,N,R,U,N,L,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"": ""N"", ""AC"": ""L"", ""PR"": ""L"", ""UI"": ""N"", ""S"": ""C"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,N,L,L,N,C,L,N,N,True,False,False,False,False,False,False,True,False,5.0,1.9,Medium,False,41.85
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2025-1148,3.1,Low,N,H,N,R,U,N,N,L,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:L,"{""AV"":""N"",""AC"":""H"",""PR"":""N"",""UI"":""R"",""S"":""U"",""C"":""N"",""I"":""N"",""A"":""L""}",success,N,H,N,R,U,N,N,L,True,True,True,True,True,True,True,True,True,3.1,0.0,Low,True,12.5
phase2,main_400,gpt5,few_shot,0.3,1,CVE-2025-1148,3.1,Low,N,H,N,R,U,N,N,L,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:L,"{""AV"": ""N"", ""AC"": ""H"", ""PR"": ""N"", ""UI"": ""R"", ""S"": ""U"", ""C"": ""N"", ""I"": ""N"", ""A"": ""L""}",success,N,H,N,R,U,N,N,L,True,True,True,True,True,True,True,True,True,3.1,0.0,Low,True,11.69
phase2,main_400,gpt5,zero_shot,0.7,1,CVE-2025-1149,3.1,Low,N,H,N,R,U,N,N,L,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:L,"{""AV"":""N"",""AC"":""H"",""PR"":""N"",""UI"":""R"",""S"":""U"",""C"":""N"",""I"":""N"",""A"":""L""}",success,N,H,N,R,U,N,N,L,True,True,True,True,True,True,True,True,True,3.1,0.0,Low,True,10.66
