phase,dataset,model,prompt_type,temperature,run_num,CVE_ID,true_score,true_severity,true_AV,true_AC,true_PR,true_UI,true_S,true_C,true_I,true_A,true_vector,raw_response,parse_status,pred_AV,pred_AC,pred_PR,pred_UI,pred_S,pred_C,pred_I,pred_A,AV_correct,AC_correct,PR_correct,UI_correct,S_correct,C_correct,I_correct,A_correct,exact_match,computed_score,score_error,predicted_severity,severity_correct,inference_time_s
phase1,pilot_40,gpt5,zero_shot,0.3,1,CVE-2024-12425,3.3,Low,L,L,N,R,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""R"",""S"":""U"",""C"":""N"",""I"":""L"",""A"":""N""}",success,N,L,N,R,U,N,L,N,False,True,True,True,True,True,True,True,False,4.3,1.0,Medium,False,28.19
phase1,pilot_40,gpt5,zero_shot,0.5,1,CVE-2024-12425,3.3,Low,L,L,N,R,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"":""L"",""AC"":""L"",""PR"":""N"",""UI"":""R"",""S"":""U"",""C"":""N"",""I"":""H"",""A"":""N""}",success,L,L,N,R,U,N,H,N,True,True,True,True,True,True,False,True,False,5.5,2.2,Medium,False,19.76
phase1,pilot_40,gpt5,zero_shot,0.7,1,CVE-2024-12425,3.3,Low,L,L,N,R,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""R"",""S"":""U"",""C"":""N"",""I"":""H"",""A"":""N""}",success,N,L,N,R,U,N,H,N,False,True,True,True,True,True,False,True,False,6.5,3.2,Medium,False,21.76
phase1,pilot_40,gpt5,few_shot,0.3,1,CVE-2024-12425,3.3,Low,L,L,N,R,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""R"", ""S"": ""C"", ""C"": ""N"", ""I"": ""L"", ""A"": ""N""}",success,L,L,N,R,C,N,L,N,True,True,True,True,False,True,True,True,False,3.6,0.3,Low,True,17.53
phase1,pilot_40,gpt5,few_shot,0.5,1,CVE-2024-12425,3.3,Low,L,L,N,R,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"": ""N"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""R"", ""S"": ""U"", ""C"": ""N"", ""I"": ""H"", ""A"": ""N""}",success,N,L,N,R,U,N,H,N,False,True,True,True,True,True,False,True,False,6.5,3.2,Medium,False,14.6
phase1,pilot_40,gpt5,few_shot,0.7,1,CVE-2024-12425,3.3,Low,L,L,N,R,U,N,L,N,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:L/A:N,"{""AV"": ""L"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""R"", ""S"": ""U"", ""C"": ""N"", ""I"": ""L"", ""A"": ""N""}",success,L,L,N,R,U,N,L,N,True,True,True,True,True,True,True,True,True,3.3,0.0,Low,True,16.76
phase1,pilot_40,gpt5,zero_shot,0.3,1,CVE-2024-42174,3.7,Low,N,H,N,N,U,L,N,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,N,L,N,N,U,L,N,N,True,False,True,True,True,True,True,True,False,5.3,1.6,Medium,False,3.07
phase1,pilot_40,gpt5,zero_shot,0.5,1,CVE-2024-42174,3.7,Low,N,H,N,N,U,L,N,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,N,L,N,N,U,L,N,N,True,False,True,True,True,True,True,True,False,5.3,1.6,Medium,False,3.62
phase1,pilot_40,gpt5,zero_shot,0.7,1,CVE-2024-42174,3.7,Low,N,H,N,N,U,L,N,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,N,L,N,N,U,L,N,N,True,False,True,True,True,True,True,True,False,5.3,1.6,Medium,False,3.2
phase1,pilot_40,gpt5,few_shot,0.3,1,CVE-2024-42174,3.7,Low,N,H,N,N,U,L,N,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""N"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,N,L,N,N,U,L,N,N,True,False,True,True,True,True,True,True,False,5.3,1.6,Medium,False,3.69
phase1,pilot_40,gpt5,few_shot,0.5,1,CVE-2024-42174,3.7,Low,N,H,N,N,U,L,N,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""N"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,N,L,N,N,U,L,N,N,True,False,True,True,True,True,True,True,False,5.3,1.6,Medium,False,4.12
phase1,pilot_40,gpt5,few_shot,0.7,1,CVE-2024-42174,3.7,Low,N,H,N,N,U,L,N,N,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""N"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,N,L,N,N,U,L,N,N,True,False,True,True,True,True,True,True,False,5.3,1.6,Medium,False,4.41
phase1,pilot_40,gpt5,zero_shot,0.3,1,CVE-2024-42179,2.7,Low,N,L,H,N,U,L,N,N,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,N,L,N,N,U,L,N,N,True,True,False,True,True,True,True,True,False,5.3,2.6,Medium,False,4.55
phase1,pilot_40,gpt5,zero_shot,0.5,1,CVE-2024-42179,2.7,Low,N,L,H,N,U,L,N,N,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,N,L,N,N,U,L,N,N,True,True,False,True,True,True,True,True,False,5.3,2.6,Medium,False,4.52
phase1,pilot_40,gpt5,zero_shot,0.7,1,CVE-2024-42179,2.7,Low,N,L,H,N,U,L,N,N,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N,"{""AV"":""N"",""AC"":""L"",""PR"":""N"",""UI"":""N"",""S"":""U"",""C"":""L"",""I"":""N"",""A"":""N""}",success,N,L,N,N,U,L,N,N,True,True,False,True,True,True,True,True,False,5.3,2.6,Medium,False,4.48
phase1,pilot_40,gpt5,few_shot,0.3,1,CVE-2024-42179,2.7,Low,N,L,H,N,U,L,N,N,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""N"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,N,L,N,N,U,L,N,N,True,True,False,True,True,True,True,True,False,5.3,2.6,Medium,False,3.69
phase1,pilot_40,gpt5,few_shot,0.5,1,CVE-2024-42179,2.7,Low,N,L,H,N,U,L,N,N,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:N/A:N,"{""AV"": ""N"", ""AC"": ""L"", ""PR"": ""N"", ""UI"": ""N"", ""S"": ""U"", ""C"": ""L"", ""I"": ""N"", ""A"": ""N""}",success,N,L,N,N,U,L,N,N,True,True,False,True,True,True,True,True,False,5.3,2.6,Medium,False,5.49
